GeneID,Pool
CNAG_03452,AP1
CNAG_00460,AP1
CNAG_06687,AP1
CNAG_06353,AP1
CNAG_07838,AP1
CNAG_01340,AP1
CNAG_04150,AP1
CNAG_03658,AP1
CNAG_06647,AP1
CNAG_06986,AP1
CNAG_03827,AP1
CNAG_06112,AP1
CNAG_03742,AP1
CNAG_01399,AP1
CNAG_05477,AP1
CNAG_06147,AP1
CNAG_01111,AP1
CNAG_05745,AP1
CNAG_01638,AP1
CNAG_03451,AP1
CNAG_03590,AP1
CNAG_06648,AP1
CNAG_03406,AP1
CNAG_01717,AP1
CNAG_02735,AP1
CNAG_05772,AP1
CNAG_06068,AP1
CNAG_01258,AP1
CNAG_00240,AP1
CNAG_00502,AP1
CNAG_02046,AP1
CNAG_06221,AP1
CNAG_03189,AP1
CNAG_03190,AP1
CNAG_02393,AP1
CNAG_02172,AP1
CNAG_02173,AP1
CNAG_00361,AP1
CNAG_01251,AP1
CNAG_00404,AP1
CNAG_07677,AP1
CNAG_02795,AP1
CNAG_06469,AP1
CNAG_04285,AP1
CNAG_02891,AP1
CNAG_02167,AP1
CNAG_02148,AP1
CNAG_04432,AP1
CNAG_00996,AP1
CNAG_07622,AP1
CNAG_07311,AP1
CNAG_06656,AP1
CNAG_05195,AP1
CNAG_05142,AP1
CNAG_00584,AP1
CNAG_03234,AP1
CNAG_06383,AP1
CNAG_00761,AP1
CNAG_05690,AP1
CNAG_04158,AP1
CNAG_05469,AP1
CNAG_01350,AP1
CNAG_00772,AP1
CNAG_02727,AP1
CNAG_00181,AP1
CNAG_05422,AP1
CNAG_05105,AP1
CNAG_02753,AP1
CNAG_04352,AP1
CNAG_00440,AP1
CNAG_05563,AP1
CNAG_02115,AP1
CNAG_03188,AP1
CNAG_01243,AP1
CNAG_04863,AP1
CNAG_05708,AP1
CNAG_04177,AP1
CNAG_03151,AP1
CNAG_00556,AP1
CNAG_06552,AP1
CNAG_01938,AP1
CNAG_00396,AP1
CNAG_01850,AP1
CNAG_01580,AP1
CNAG_00006,AP1
CNAG_00045,AP1
CNAG_00088,AP1
CNAG_00110,AP1
CNAG_00118,AP1
CNAG_00171,AP1
CNAG_00182,AP1
CNAG_00248,AP1
CNAG_00252,AP1
CNAG_00305,AP1
CNAG_00322,AP1
CNAG_00328,AP1
CNAG_00358,AP1
CNAG_00367,AP1
CNAG_00368,AP1
CNAG_00390,AP1
CNAG_00402,AP1
CNAG_00403,AP1
CNAG_00410,AP1
CNAG_00411,AP2
CNAG_00422,AP2
CNAG_00438,AP2
CNAG_00467,AP2
CNAG_00470,AP2
CNAG_00472,AP2
CNAG_00484,AP2
CNAG_00490,AP2
CNAG_00496,AP2
CNAG_00500,AP2
CNAG_00508,AP2
CNAG_00538,AP2
CNAG_00542,AP2
CNAG_00570,AP2
CNAG_00589,AP2
CNAG_00590,AP2
CNAG_00634,AP2
CNAG_00650,AP2
CNAG_00693,AP2
CNAG_00697,AP2
CNAG_00734,AP2
CNAG_00760,AP2
CNAG_00816,AP2
CNAG_00837,AP2
CNAG_00875,AP2
CNAG_00876,AP2
CNAG_00877,AP2
CNAG_00971,AP2
CNAG_00977,AP2
CNAG_01057,AP2
CNAG_01115,AP2
CNAG_01116,AP2
CNAG_01149,AP2
CNAG_01188,AP2
CNAG_01190,AP2
