"","Gene","PostInput_Counts","Mouse1_Counts","Mouse2_Counts","Mouse3_Counts","Mouse4_Counts","Mouse5_Counts","PostInput_log2NormCounts","Mouse1_log2NormCounts","Mouse2_log2NormCounts","Mouse3_log2NormCounts","Mouse4_log2NormCounts","Mouse5_log2NormCounts","Mouse1_L2FC","Mouse2_L2FC","Mouse3_L2FC","Mouse4_L2FC","Mouse5_L2FC","Mouse1_Zadj","Mouse2_Zadj","Mouse3_Zadj","Mouse4_Zadj","Mouse5_Zadj","Avg_Zadj"
"21","CNAG_00363",168,85,290,26,132,37,7.60237886494051,8.00072158571627,9.7200920933811,6.43037464659736,9.18619761095972,6.88388442744784,0.398342720775753,2.11771322844059,-1.17200421834315,1.58381874601921,-0.718494437492669,0.645974903913785,1.92484469672712,-0.826258342251167,1.51393512984383,-0.0267998030288777,0.646339317040937
"22","CNAG_00374",912,554,631,266,395,726,10.0368823922275,10.7002964325432,10.840754501343,9.77004510862908,10.7658624238197,11.1666168192677,0.66341404031574,0.803872109115574,-0.266837283598386,0.728980031592195,1.12973442704024,0.882571198675608,0.831077697889277,-0.0259428555789931,0.741863029543546,0.955428215577852,0.676999457221458
"23","CNAG_00393",1457,812,843,1242,457,3559,10.7122637495238,11.251614653295,11.2584492844694,11.9919130940106,10.9760915220649,13.4595476305733,0.539350903771229,0.5461855349456,1.27964934448683,0.263827772541093,2.74728388104954,0.771835422078195,0.616554749318832,1.34140404020331,0.321747426981341,1.81506331039685,0.973320989795705
"24","CNAG_00445",5240,265,284,439,229,670,12.5582087285774,9.63734812545687,9.68996626075566,10.4921885080127,9.97995786363599,11.0508608223857,-2.9208606031205,-2.86824246782171,-2.06602022056467,-2.57825086494138,-1.50734790619164,-2.31666628019409,-2.2259416639867,-1.61671458236159,-2.24515740059244,-0.446030340112313,-1.77010205344943
"25","CNAG_00456",2280,579,736,495,334,523,11.3579862594657,10.7639363648634,11.0627080319853,10.6652827722971,10.524009190191,10.6937017997544,-0.594049894602328,-0.295278227480431,-0.692703487168599,-0.833977069274702,-0.664284459711288,-0.23981091461582,-0.0839601611387997,-0.402478171756479,-0.669766499138238,0.00200970216104201,-0.278801208897659
"26","CNAG_00461",549,1,4,0,2,2,9.30556247388351,2.00054334516386,3.65757856930985,0,3.29441726551954,2.87377678828335,-7.30501912871965,-5.64798390457366,-9.30556247388351,-6.01114520836397,-6.43178568560016,-6.22986090496654,-4.54006428056561,-8.01765297212104,-5.34567437660678,-3.06308759727346,-5.43926802630669
"27","CNAG_00462",432,173,124,72,173,75,8.96040498540242,9.02309083502603,8.49666742544585,7.8891329419086,9.57584466311337,7.89704714304204,0.0626858496236107,-0.463737559956568,-1.07127204349382,0.615439677710951,-1.06335784236038,0.346375640727698,-0.224201820345898,-0.737194638702582,0.639315802785469,-0.210074994404482,-0.0371560019879589
"28","CNAG_00474",1148,287,960,591,207,174,10.3686169568867,9.75226763366531,11.4458792848249,10.9208680630021,9.83439285596192,9.1077242342759,-0.616349323221359,1.07726232793826,0.552251106115476,-0.534224100924751,-1.26089272261076,-0.259714849133234,1.0586738621096,0.698265130902772,-0.39903600935185,-0.31505349450116,0.156626928005226
"29","CNAG_00503",1412,573,378,862,423,847,10.667030366091,10.7489168432776,10.1020271498089,11.4651638304381,10.8646125868674,11.3889195796448,0.0818864771865506,-0.565003216282191,0.798133464347041,0.197582220776301,0.721889213553732,0.363513659832809,-0.308505037360086,0.915665316038441,0.261915857091719,0.738681792216301,0.394254317563837
"30","CNAG_00531",619,1,3,1,2,3,9.47843788399,2.00054334516386,3.2801541409001,2.09716140976785,3.29441726551954,3.39159211677961,-7.47789453882614,-6.1982837430899,-7.38127647422214,-6.18402061847045,-6.08684576721039,-6.3841653448343,-4.99818649487421,-6.31626969440587,-5.50181176102631,-2.87977174333349,-5.21604100769484
"31","CNAG_00546",743,5,8,4,3,4,9.74152311511231,4.00067914948684,4.59925382325982,3.81912329981107,3.82951209573235,3.77184650295142,-5.74084396562547,-5.14226929185249,-5.92239981530124,-5.91201101937996,-5.96967661216088,-4.83371571434842,-4.11905907218193,-5.02638432800306,-5.25613849082071,-2.81750303342717,-4.41056012775626
"32","CNAG_00559",94966,31990,11030,7810,20239,3283,16.7377550723068,16.5510353126244,14.9676616372994,14.6442725650897,16.4441913454576,13.3431012143598,-0.186719759682358,-1.77009343500738,-2.09348250721714,-0.293563726849154,-3.39465385794696,0.123762182745853,-1.31173738598764,-1.64099573146654,-0.181676690762563,-1.44902559739383,-0.891934644572945
"33","CNAG_00564",1635,171,109,337,334,137,10.8784598857906,9.00634755493359,8.31120498681409,10.111019294407,10.524009190191,8.76351889703006,-1.87211233085698,-2.56725489897647,-0.767440591383547,-0.354450695599537,-2.11494098876051,-1.38057875557608,-1.97537082629479,-0.468557984922789,-0.236668502727391,-0.768931340666483,-0.966021482037507
"34","CNAG_00581",1621,324,250,184,346,125,10.8660599596704,9.92701966520495,9.50624094974688,9.23906080767007,10.5748991438682,8.631589750075,-0.939040294465487,-1.35981900992356,-1.62699915200037,-0.291160815802227,-2.23447020959544,-0.547741061406787,-0.970185717354834,-1.22854821584883,-0.179506432739002,-0.832454290664328,-0.751687143602756
"35","CNAG_00598",2616,1506,1568,638,569,883,11.5562443779523,12.1425120961609,12.1534979895256,11.0312115350655,11.2921850256693,11.448949114194,0.586267718208569,0.597253611573322,-0.525032842886752,-0.264059352283027,-0.107295263758251,0.813712244048851,0.659068700273739,-0.254229922590262,-0.155028968736327,0.298017628898281,0.272307936378856
"36","CNAG_00627",1280,455,416,197,330,532,10.5255255892935,10.4164656528587,10.2401045297911,9.33739311289328,10.5066389881316,10.7183023629064,-0.109059936434845,-0.285421059502388,-1.18813247640025,-0.0188866011619364,0.192776773612859,0.193079476159967,-0.0757541118092409,-0.840518357946265,0.0664058325891346,0.457488768194008,-0.0398596785624792
"37","CNAG_00654",871,826,787,431,496,371,9.97058593060594,11.2762666786933,11.1593221925626,10.4656740293475,11.094181161217,10.1986668735307,1.30568074808739,1.18873626195664,0.495088098741562,1.12359523061107,0.228080942924775,1.45584303951965,1.15147542575876,0.647723691185911,1.09827106345101,0.476250916614714,0.96591282730601
"38","CNAG_00674",993,3310,1319,1151,1525,1043,10.1595302581263,13.2784476234377,11.9040767742125,11.8821637573276,12.71413302372,11.6891237619124,3.11891736531144,1.74454651608625,1.72263349920138,2.55460276559372,1.52959350378614,3.07429450347351,1.61418503702056,1.73307442249406,2.39072655760834,1.16793046365485,1.99604219685026
"39","CNAG_00675",2322,1107,681,552,508,1495,11.3843104653983,11.6985605547051,10.9507115361468,10.822430775088,11.128653948787,12.2083979848367,0.314250089306794,-0.433598929251545,-0.561879690310338,-0.255656516611323,0.824087519438361,0.570915840349853,-0.199111541795131,-0.286808556979351,-0.147439706719949,0.79299435134809,0.146110077240702
"40","CNAG_00676",245,1,1,0,0,1,8.1443642755715,2.00054334516386,1.9652729121405,0,0,2.05828445652109,-6.14382093040764,-6.179091363431,-8.1443642755715,-8.1443642755715,-6.08607981905041,-5.19340327657615,-4.98220892255491,-6.99096400952987,-7.27235235436249,-2.879364685659,-5.46365864973649
"41","CNAG_00699",2378,515,1574,1422,779,2595,11.4186784986252,10.5950485502227,12.1590067637886,12.1871245492248,11.7452246080267,13.0038578113841,-0.82362994840258,0.740328265163342,0.768446050599605,0.326546109401411,1.58517931275891,-0.444728557816995,0.778177725075244,0.889416790966083,0.378393291575276,1.19747114449676,0.559746078859274
"42","CNAG_00702",1755,105,13,34,19,39,10.980587879085,8.30450287105283,5.2766177579654,6.81345643741551,6.40438549699153,6.95920669778615,-2.67608500803212,-5.70397012111955,-4.16713144166944,-4.57620238209342,-4.0213811812988,-2.09818546172404,-4.58667256154189,-3.47444025143389,-4.04966461126511,-1.78209535343736,-3.19821164788046
"43","CNAG_00710",1937,513,1515,366,554,668,11.122873715232,10.5894385800549,12.1039013019569,10.2300109833183,11.2536579258186,11.0465498655587,-0.533435135177102,0.981027586724917,-0.892862731913709,0.130784210586599,-0.0763238496732797,-0.185707635872665,0.978558859973779,-0.579451652803142,0.201585318532043,0.314477165524887,0.14589241107098
"44","CNAG_00717",634,174,234,243,192,64,9.51293346406839,9.03139016623356,9.41095702679041,9.63973156203316,9.72599185135965,7.66926833118293,-0.481543297834829,-0.101976437277987,0.126798097964766,0.213058387291259,-1.84366513288546,-0.139390227920452,0.0769627357243533,0.322095146997773,0.275893600710653,-0.624763726186913,-0.0178404941349172
"45","CNAG_00732",1182,32,18,49,28,44,10.4106929614965,6.60062979060299,5.73572745698653,7.33677150249549,6.95832796178839,7.13191796135612,-3.81006317089348,-4.67496550450994,-3.07392145900097,-3.45236499970808,-3.27877500014035,-3.11034714009583,-3.73003070831872,-2.50786398165344,-3.03463864955979,-1.38744260673398,-2.75406461727235
"46","CNAG_00733",2680,673,2370,597,697,670,11.591103397293,10.9808636338618,12.7493523251151,10.9354333850862,11.5848093763795,11.0508608223857,-0.610239763431197,1.15824892782205,-0.655670012206784,-0.00629402091354159,-0.540242574907284,-0.254261602771136,1.12609485312447,-0.369734528126165,0.0777791825749209,0.0679308751679752,0.129561755994012
"47","CNAG_00791",1370,3,9,8,6,10,10.6234933728072,3.32258008453227,4.76255031373214,4.76708990756318,4.77785881254002,5.02897021586768,-7.30091328827496,-5.86094305907509,-5.85640346524405,-5.84563456026721,-5.59452315693955,-6.22619613037764,-4.71735184743194,-4.96803276986809,-5.19618868820557,-2.61813041130948,-4.74517996943854
"48","CNAG_00828",916,199,334,767,370,357,10.0431901691148,9.22472487785962,9.92366193659086,11.2967657414672,10.6715910243631,10.1432199027549,-0.81846529125521,-0.119528232523971,1.25357557235233,0.628400855248318,0.100029733640083,-0.440118708864255,0.0623509427700586,1.31835056483405,0.651022061983553,0.408199016771842,0.39996077549905
"49","CNAG_00830",2801,1249,1077,1495,606,1168,11.654792178689,11.8726294591812,11.6117350413768,12.2593334620318,11.3830390413355,11.8523781185559,0.217837280492175,-0.0430571373121893,0.604541283342749,-0.271753137353492,0.197585939866892,0.484860082327046,0.12601279584907,0.744498192484524,-0.161977831367794,0.460044565222988,0.330687560903167
"50","CNAG_00841",2557,990,2129,1506,586,297,11.5233450516578,11.5374570608219,12.5946649336075,12.269907598227,11.3346403483379,9.87801646112252,0.0141120091640801,1.07131988194976,0.7465625465692,-0.18870470331985,-1.64532859053525,0.303019797119189,1.05372680175429,0.870068197346581,-0.0869702564780886,-0.519359188497696,0.324097070248855
"51","CNAG_00871",2497,867,595,1786,1215,461,11.4891004892979,11.3461293831346,10.7560517594789,12.5158721105428,12.3863348741531,10.5117747486422,-0.142971106163319,-0.733048729818996,1.02677162124493,0.897234384855205,-0.977325740655688,0.162811180356709,-0.448402194105906,1.11781880926249,0.893826773950595,-0.164353848925386,0.312340144107701
"52","CNAG_00883",1812,2395,1174,784,594,991,11.0266773440164,12.8116975339721,11.7361111106103,11.3283803831328,11.3541950913454,11.6153644923476,1.78502018995573,0.709433766593913,0.301703039116356,0.327517747329036,0.588687148331198,1.88368991513058,0.75245818982562,0.476739696777503,0.379270854234585,0.667892506804443,0.832010232554546
"53","CNAG_00896",3683,747,928,2118,607,1814,12.0496244367607,11.1312946545294,11.3969875171985,12.7618040058799,11.3854168742007,12.4873733467477,-0.918329782231316,-0.652636919562255,0.712179569119206,-0.664207562560042,0.437748909987018,-0.529255355500437,-0.381459712947439,0.839668026643384,-0.516434300439226,0.58767745896822,3.92233449005963e-05
"54","CNAG_00897",1021,4,1,1,4,2,10.1996129084392,3.70110842159539,1.9652729121405,2.09716140976785,4.21895411099647,2.87377678828335,-6.49850448684379,-8.23433999629867,-8.10245149867132,-5.9806587974427,-7.32583612015583,-5.50998530216598,-6.69319444125457,-6.95390626564298,-5.31813970028322,-3.53822430989592,-5.60269000384854
"55","CNAG_00919",2532,1145,875,620,963,2701,11.5091751350894,11.7472385251144,11.3121781330705,10.9899433402471,12.0510567782332,13.0616100196904,0.238063390024951,-0.196997002018922,-0.519231794842348,0.541881643143725,1.552434884601,0.502913422013915,-0.00214146979629829,-0.249100848150335,0.572879754342874,1.1800693522149,0.40092404212501
"56","CNAG_00998",822,21,101,16,15,2,9.88713731745824,6.00071309857024,8.20159186679474,5.74035210488475,6.0678832776215,2.87377678828335,-3.88642421888801,-1.6855454506635,-4.1467852125735,-3.81925403983674,-7.0133605291749,-3.17850517790614,-1.24135155795,-3.45645086006769,-3.36600500792502,-3.37216139069693,-2.92289479890915
"57","CNAG_01009",1880,457,840,223,416,161,11.0798020373652,10.42278865306,11.2533080844161,9.51598114940645,10.8405514716494,8.99590875242484,-0.657013384305197,0.173506047050866,-1.56382088795876,-0.239250565715812,-2.08389328494036,-0.296010613605607,0.306300701848873,-1.1726883062645,-0.132622201673034,-0.752431260405451,-0.409490336019944
"58","CNAG_01010",2217,628,1335,429,274,682,11.3175768242545,10.8810728387014,11.9214674399445,10.4589685640084,10.2385515168333,11.0764595005159,-0.436503985553122,0.603890615690046,-0.858608260246061,-1.07902530742123,-0.241117323738635,-0.0991892192901496,0.664593977240069,-0.549165102211099,-0.891088842999895,0.22689885170419,-0.129590067111377
"59","CNAG_01013",361,0,0,0,0,1,8.7019420043081,0,0,0,0,2.05828445652109,-8.7019420043081,-8.7019420043081,-8.7019420043081,-8.7019420043081,-6.64365754778701,-7.47672071992439,-7.08247107252166,-7.48395383737552,-7.7759446704813,-3.17568538393713,-6.598955136848
"60","CNAG_01014",1586,463,520,94,145,226,10.8345856978074,10.4415930613338,10.5617940294117,8.27237178126876,9.32149052573281,9.48435788746737,-0.392992636473641,-0.27279166839574,-2.56221391653863,-1.51309517207459,-1.35022781034002,-0.0603520339237395,-0.0652401988218285,-2.05543089427487,-1.28313148966993,-0.362529988292713,-0.765336920996617
"61","CNAG_01019",1602,262,124,207,226,140,10.8490591841323,9.62094332001592,8.49666742544585,9.40872050894396,9.96095200142505,8.79469869387306,-1.22811586411634,-2.35239175868641,-1.4403386751883,-0.888107182707206,-2.0543604902592,-0.80576297341239,-1.79649819956753,-1.06350985153381,-0.718655663447248,-0.736736267777505,-1.0242325911477
"62","CNAG_01069",1089,223,496,924,189,195,10.2925573876523,9.38874061915393,10.4936687095788,11.5653345721787,9.70329881535439,9.2718294062811,-0.903816768498384,0.201111321926476,1.27277718452641,-0.589258572297927,-1.02072798137122,-0.516301387938053,0.329281972726056,1.33532792779564,-0.448741970470475,-0.187419659507173,0.102429376521198
"63","CNAG_01081",358,91,195,97,119,80,8.68993178574119,8.09875385452615,9.14834642040969,8.31755145602534,9.03689178101692,7.98977822383563,-0.591177931215041,0.458414634668506,-0.372380329715849,0.346959995275734,-0.700153561905554,-0.237247469059722,0.543485857830116,-0.119260155489179,0.396830678039274,-0.0170526758017545,0.113351247103747
"64","CNAG_01082",1011,290,403,311,327,249,10.1854251742505,9.76725249185659,10.1943393195904,9.99529433971345,10.4934726971168,9.62399479634819,-0.41817268239395,0.00891414533985113,-0.190130834537092,0.308047522866234,-0.561430377902351,-0.0828271382730759,0.169278661878045,0.0418781802487183,0.361685762637055,0.056670768720209,0.10933724704219
"65","CNAG_01108",3073,947,936,579,474,885,11.7884583576828,11.4734149991645,11.4093666691485,10.8912887037135,11.0287587287385,11.4522119652856,-0.31504335851837,-0.379091688534333,-0.897169653969298,-0.759699628944343,-0.336246392397253,0.00922361981195117,-0.153734501742658,-0.583259675708828,-0.602680698749297,0.176343188164073,-0.230821613644952
"66","CNAG_01109",893,2,1,1,3,3,10.0065379624713,2.80797587125707,1.9652729121405,2.09716140976785,3.82951209573235,3.39159211677961,-7.19856209121428,-8.04126505033084,-7.90937655270349,-6.17702586673899,-6.61494584569173,-6.13483990960272,-6.53246039122689,-6.78319646238441,-5.49549425040209,-3.16042675509465,-5.62128355374215
"67","CNAG_01126",71,1,3,1,0,1,6.36991554865301,2.00054334516386,3.2801541409001,2.09716140976785,0,2.05828445652109,-4.36937220348915,-3.08976140775291,-4.27275413888515,-6.36991554865301,-4.31163109213192,-3.60957295210977,-2.41035521487234,-3.56782797593098,-5.66970809838092,-1.93634659379467,-3.43876216701774
"68","CNAG_01138",1045,267,775,209,285,804,10.2331048082076,9.64818193817493,11.1371646342327,9.42257237145424,10.2952914517071,11.3137818838991,-0.584922870032704,0.904059826025106,-0.810532436753391,0.0621866434994391,1.08067707569144,-0.231664351648839,0.914483535043204,-0.506658218012383,0.139629458552101,0.929357036873691,0.249029492161555
"69","CNAG_01154",1154,553,373,219,356,395,10.3761318652904,10.6976915047032,10.0828341420829,9.48990429969952,10.6159777787186,10.2890257474564,0.321559639412794,-0.293297723207484,-0.886227565590865,0.239845913428251,-0.0871061178339723,0.577440169252944,-0.0823113999735842,-0.573585081499015,0.300087523163381,0.308747006184345,0.106075643425614
"70","CNAG_01183",2323,1663,723,1411,1449,1376,11.3849314150109,12.2855483698416,11.0370100403664,12.1759234840499,12.6403926370867,12.0887593340771,0.900616954830676,-0.347921374644526,0.790992069039005,1.25546122207574,0.703827919066168,1.09429282430578,-0.127785351442353,0.909351155586832,1.21736961534165,0.729083246366041,0.764462298031588
"71","CNAG_01184",1083,537,1854,1062,722,359,10.2845930493082,10.6553599940057,12.3951648233408,11.7660917193037,11.6356332942477,10.1512725653624,0.370766944697538,2.11057177403261,1.48149866999552,1.35104024493949,-0.13332048394585,0.621361428353283,1.91889946709451,1.51987182882672,1.3036945508899,0.284186711662212,1.12960279736532
"72","CNAG_01230",2283,186,505,773,659,801,11.3598825723752,9.12742759200985,10.5195941440405,11.3080031266428,11.503956268317,11.3083907477635,-2.23245498036536,-0.840288428334668,-0.0518794457324141,0.144073695941746,-0.0514918246117251,-1.70221195175249,-0.537678775175329,0.164115000074134,0.213588098351082,0.327673967740379,-0.306902732152444
"73","CNAG_01242",1550,203,131,55,62,247,10.8014794910493,9.25338865993654,8.57568067372685,7.50244745616007,8.09879324193921,9.61237490038173,-1.54809083111272,-2.22579881732241,-3.29903203488919,-2.70268624911005,-1.18910459066754,-1.09136494551281,-1.69111012827556,-2.70689851681113,-2.35754478640611,-0.276902204933516,-1.62476411638783
"74","CNAG_01318",1513,1184,1130,909,593,237,10.7666430312092,11.795546184248,11.6810179421945,11.5417298707151,11.3517651944131,9.55282868576388,1.02890315303882,0.914374910985323,0.775086839505912,0.585122163203863,-1.21381434544534,1.20879800433733,0.923070798262283,0.895288333552796,0.611933670102041,-0.290034027480718,0.669811355754746
"75","CNAG_01353",1910,953,941,2415,893,596,11.1026315445776,11.4825235931913,11.4170500439513,12.9510990590821,11.9422078049173,10.8820964894305,0.379892048613643,0.314418499373662,1.8484675145045,0.839576260339642,-0.220535055147142,0.629506276991052,0.423609703530269,1.84433225497954,0.841751185254376,0.237837151221638,0.795407314395376
"76","CNAG_01354",714,516,182,303,436,235,9.68415342858842,10.5978453759947,9.04899233709253,9.95773487230248,10.9082599878337,9.54061873073819,0.913691947406232,-0.635161091495895,0.273581443714056,1.22410655924532,-0.14353469785023,1.10596324871375,-0.366911162338695,0.451875610997861,1.18905075240629,0.27875844069564,0.531747378094971
"77","CNAG_01438",1444,46,52,187,17,336,10.6993413560551,7.11966027715924,7.24843060166136,9.26235500914215,6.24592318430873,10.0558367928536,-3.57968107889584,-3.45091075439372,-1.43698634691293,-4.45341817174634,-0.643504563201498,-2.90471361685871,-2.71101047006066,-1.0605458455232,-3.93876853044135,0.0130530296229915,-2.12039708665219
"78","CNAG_01446",1104,1171,439,723,367,1719,10.3122779767359,11.7796226846629,10.3176794428228,11.2115697103445,10.6598530470454,12.4097823207084,1.46734470792703,0.00540146608691572,0.899291733608592,0.347575070309498,2.09750434397254,1.60014040809563,0.166354371727698,1.00510575667694,0.397386200695356,1.46974262015017,0.927745871469159
"79","CNAG_01454",2880,1086,1129,1019,652,379,11.6949067334294,11.6709378292669,11.6797410448389,11.7064794837885,11.488555100745,10.2294196216707,-0.0239689041624835,-0.0151656885904341,0.0115727503590897,-0.206351632684424,-1.46548711175867,0.269029688306787,0.149232305204437,0.220217110354719,-0.102908586818555,-0.423783720138878,0.022357359381702
